Tale,preprocessed_tale
Сыроежки И в лесу и на лужайках Сыроежки в ярких майках Всех спешат очаровать. «Почему бы не сорвать?» ,сыроежка лес лужайка сыроежка яркий майка спешить очаровать почему сорвать
"Грибной дождь -Говорят, что дождь грибной, Разве так бывает?  Вместо капелек грибы, Что ли выпадают? - Вот и нет, совсем не так! Это дождь обычный,  Но зато после него  Рост грибов отличный! ",грибной дождь дождь грибной бывать вместо капелька гриб выпадать это дождь обычный зато рост гриб отличный
Шла лисица Шла лисица вдоль тропинки И несла грибы в корзинке: Пять опят и пять лисичек. Для лисят и для лисичек. ,идти лисица идти лисица вдоль тропинка нести гриб корзинка пять опёнок пять лисичка лисёнок лисичка
"В лесу Сто грибов в лесу найдем, Обойдем полянку. В кузовок мы не возьмем Бледную поганку. Мы обшарим все дубы,  Елки и осинки И хорошие грибы Соберем в корзинки. ",лес сто гриб лес найти обойти полянка кузовок взять бледный поганка обшарить дуб ёлка осинка хороший гриб собрать корзинка
"Вот оно какое море! Вот оно какое море! Разноцветно-голубое Волнами шумящее, чайками кричащее, чистое, солёное, тёплое, рифлёное С небом обнимается, Солнцу улыбается!.. Автор: Л. Зубаненко ",оно какой море оно какой море волна шуметь чайка кричащий чистый солёный тёплый рифлёный небо обниматься солнце улыбаться автор зубаненко
"Дельфин О дельфинах всем известно — Нет животных интересней: Острый ум, движенья ловки И легки для дрессировки. Автор: Н. Матюх ",дельфин дельфин весь известно животное интересный острый движение ловкий лёгкий дрессировка автор матюха
"Домик на дне океана На дне океана живет осьминог, Его там и папа, и мама живет, Живет там большая морская семья - Отец Осьминогов и сыновья. Они межу рифов в пещерке живут, У них там и дом, и семейный уют, Там мама их любит и бережет, Чтоб их не обидел большой кашалот, Чтоб их не застала акула врасплох, Когда они водят большой хоровод, Когда выплывают они погулять, С морскими ежами в футбол погонять. Они тоже дети, хоть в море живут, И ценят, и любят домашний уют. Автор: А. Слоников ",домик день океан день океан жить осьминог папа мама жить жить больший морской семья отец осьминог сын межа риф пещерка жить дом семейный уют мама любить беречь обидеть большой кашалот застать акула врасплох водить большой хоровод выплывать погулять морской ёж футбол погонять ребёнок море жить ценить любить домашний уют автор слоник
"Кораблик Матросская шапка, Веревка в руке, Тяну я кораблик По быстрой реке, И скачут лягушки За мной по пятам И просят меня: - Прокати, капитан! Автор: А. Барто ",кораблик матросский шапка верёвка рука тянуть кораблик быстрый река скакать лягушка я пята просить прокатить капитан автор барто
"Кто утюжит море? Вода после шторма Всегда в беспорядке: Виднеются всюду Морщины и складки. Чтоб выровнять море Вблизи и вдали, Всё время утюжат его Корабли. Автор: В.Орлов ",утюжить море вода шторм беспорядок виднеться всюду морщина складка выровнять море вблизи вдали всё время утюжить корабль автор орлов
"Медузы Под водой  В прозрачных блузах  Важно плавают медузы.  Не спеша, неторопливо,  Чтобы выглядеть красиво.  Вот какие модницы,  Модницы-подводницы. Автор: И. Махонина ",медуза вода прозрачный блуза важно плавать медуза спешить неторопливо выглядеть красиво какой модница автор махонина
"Море утренней волной Море, утренней волной, Принесёт на берег свой И оставит для детей Уйму нужных им вещей: Камни гладкие, как мыло (Ими море волны мыло); Тину, словно прядь волос С гребешка стряхнул утёс; И принцесс морских игрушки – Настоящие ракушки. Автор: Н. Белостоцкая ",море утренний волна море утренний волна принести берег свой оставить ребёнок уйма нужный вещь камень гладкий мыло они море волна мыло тина словно прядь волос гребешок стряхнуть утёс принцесса морской игрушка настоящий ракушка автор белостоцкий
"Море шепчет не грусти Море шепчет не грусти, Лучше в гости приходи. Подарю тебе ракушку, Ласково шепну на ушко, Искупаю в пене даже, Полежишь со мной на пляже. Улыбнёшься облакам, А потом вернёшься к нам. Автор: Г. Польняк ",море шептать грусть море шептать грусть гость приходить подарить ты ракушка ласково шепнуть ушко искупать пена полежать я пляж улыбнуться облако вернуться мы автор польняк
"Море, я к тебе бегу! Море, я к тебе бегу! Я уже на берегу! Я бегу к твоей волне, а волна бежит ко мне!... Автор: Э.Мошковская ",море ты бег море ты бег берег бег твой волна волна бежать автор мошковский
"Морские звездочки Звездочки морские Новый Год встречали. И коралл, как ёлку, Дружно наряжали. Только нет игрушек В море под водой. И пришлось им ветки Украшать собой. Автор: И. Сударева ",морской звёздочка звёздочка морской новый год встречать коралл ёлка дружно наряжать игрушка море вода прийтись ветка украшать себя автор сударев
"О чём грустят кораблики? О чём грустят кораблики От суши вдалеке? Грустят, грустят кораблики О мели на реке, Где можно на минуточку Присесть и отдохнуть, И где совсем ничуточки Не страшно утонуть. Автор: В.Лунин ",что грустить кораблик что грустить кораблик сушить вдалеке грустить грустить кораблик мелить река минуточка присесть отдохнуть ничуточка страшно утонуть автор лунина
"Ракушки Море вынесло ракушки  На пологий бережок  И как будто для просушки  Положило на песок. -  Пусть лежат на берегу,  Я за ними прибегу! Автор: И. Махонина ",ракушка море вынести ракушка пология бережок просушка положить песок пусть лежать берег они прибежать автор махонина
"Теплоход Теплоход пропах туманом, Штормом, солнцем, океаном. Мачты пахнут облаками, Флаги - синими ветрами, Солью - палубные доски, Глубиною - якоря. Макаронами по-флотски Пахнет камбуз корабля. Автор: В.Орлов ",теплоход теплоход пропахнуть туман шторм солнце океан мачта пахнуть облако флаг синий ветер соль палубный доска глубина якорь макароны пахнуть камбуз корабль автор орлов
У реки волна речная У реки волна речная. У ручья волна – ручная. У лесной тропинки Мы к ручью присядем И по мокрой спинке  Мы ручей погладим. Автор: С. Махотин ,река волна речной река волна речной ручей волна ручной лесной тропинка ручей присесть мокрый спинка ручей погладить автор махотин
"Шторм Что сегодня с морем сталось? Все оно перемешалось! И вскипает, и клокочет В глубине и наверху - Будто кто-то сделать хочет Великанскую уху. Поварешкою мешает, Пену белую снимает, Тут подсыпал, там подлил... - Так и есть! Пересолил! Автор: М. Бородицкая ",шторм сегодня море статься оно перемешаться вскипать клокотать глубина наверху сделать хотеть великанский уха поварёшка мешать пена белый снимать подсыпать подлить пересолить автор бородицкий
"Я в море заплыл Я в море заплыл и лежу на спине. Какая-то птица парит в вышине. Какая-то рыба на дне, в глубине, Глядит, как над ней я парю на спине. Автор: М.Бородицкая ",море заплыть море заплыть лежать спина птица парить вышина рыба день глубина глядеть парить спина автор бородицкий
"Я рисую море Я рисую море, Голубые дали. Вы такого моря Просто не видали! У меня такая Краска голубая, Что волна любая Просто как живая! Я сижу тихонько Около прибоя - Окунаю кисточку В море голубое. Автор: В.Орлов ",рисовать море рисовать море голубой дать такой море просто видать такой краска голубой волна любой просто живой сидеть тихонько около прибой окунать кисточка море голубой автор орлов
"Ананас Фрукт чудесный - АНАНАС И большой к тому же. Если скушать его враз, То не нужен ужин. ",ананас фрукт чудесный ананас большой тот скушать враз нужный ужин
"Арбуз Кругло пузо у арбуза, Полосатые рейтузы, Полосатый пиджачок, А на маковке - крючок. А. Богдарин ",арбуз круглый пузо арбуз полосатый рейтузы полосатый пиджачок маковка крючок богдарина
"Баба сеяла горох За селом у двух дорог, Ох-ох-ох. Баба сеяла горох, Ох-ох-ох. Лук взошел, а не горох, Ох-ох-ох. Да еще чертополох, Ох-ох-ох. Баба руки развела, Ох-ох-ох. Видно память подвела, Ох-ох-ох. В. Кудлачев ",баба сеять горох село два дорога баба сеять горох лук взойти горох чертополох баба рука развести видно память подвести кудлачёв
"Брусника У брусники вкус особый: То ли кислый, то ли нет. Сколько ты ее ни пробуй, Не найдешь на то ответ. А зеленые листочки Не желтеют и зимой. Приносили мы из леса Эту ягоду домой. А. Богдарин ",брусника брусника вкус особый кислый сколько пробовать найти ответ зелёный листочек желтеть зимой приносить лес ягода домой богдарина
"Вишня Как о вишенке-малышке Знают все не понаслышке. Любят ягоду такую И девчонки, и мальчишки. Станешь вишню собирать, Вишней короб наполнять, И ладошки будут тоже Вишни цвет напоминать. А. Богдарин ",вишня знать понаслышке любить ягода такой девчонка мальчишка стать вишня собирать вишня короб наполнять ладошка быть вишня цвет напоминать богдарина
"Земляника Я капелька лета На тоненькой ножке. Плетут для меня Кузовки и лукошки. Кто любит меня, Тот и рад наклониться, А имя дала мне Родная землица. Ю. Кушак ",земляника капелька лето тоненький ножка плести кузовок лукошко любить рад наклониться имя дать родный землица кушак
Клубника Нос щекочет аромат Ягоды КЛУБНИКИ. Согревают вешний сад Солнечные блики. ,клубника нос щекотать аромат ягода клубника согревать вешний сад солнечный блик
"Лимон Желтый, солнечный ЛИМОН Он полезен с чаем, А без чая кислый он - Мы про это знаем. ",лимон жёлтый солнечный лимон полезный чаемый чай кислый это знать
Мандаринка Посмотрите на Иринку: Ест Иринка мандаринку. Съест Иринка мандаринку – Бросит корочки в корзинку. А. Стародубова ,мандаринка посмотреть иринка есть иринка мандаринка съесть иринка мандаринка бросить корочка корзинка стародубов
"Морковь Дремлет под землёй МОРКОВЬ. Что же ей там снится? Пригрoзим, нахмурив бровь - Покажись, девица! ",морковь дремать земля морковь сниться пригра зима нахмурить бровь показаться девица
"Огород В огороде нашем Нет редиски краше. Как сочна, красна, кругла, Не смотрите, что мала. Репка тоже удалась, Желтым солнышком зажглась. Ну а разве плох лучок, В ста одежках старичок? Н. Нищева  ",огород огород наш редиска красивый сочный красный круглый смотреть маленький репка удаться жёлтый солнышко зажечься плохой лучок сто одёжка старичок нищева
"Огурец Погляди на огурец, Огурец – такой хитрец! Ловко одевается, Под листьями скрывается. Разгребу рукой листву, С грядки огурец сорву. Пополам разломлю, Густо-густо посолю. Сам я огурцы ращу, Приходите – угощу! К. Тангрыкулиев ",огурец поглядеть огурец огурец хитрец ловко одеваться лист скрываться разгрести рука листва грядка огурец сорвать пополам разломить посолить огурец растить приходить угостить тангрыкулиев
Персик Не румяный колобок Розовые щечки Это ПЕРСИКА бочок - Фрукт любимый дочки. ,персик румяный колобок розовый щёчка это персик бочок фрукт любимый дочка
"Слива Слива, слива, моя слива, Ты красива и вкусна. Много мякоти на диво, Ну, а косточка - одна. А. Богдарин ",слива слива слива слива красивый вкусный мякоть диво косточка один богдарина
"Укроп По тропинке топ-топ-топ - Я в саду ищу УКРОП. Он зелёныёй, он душистый, А еще УКРОП пушистый! ",укроп тропинка сад искать укроп зелёныя душистый укроп пушистый
"Хурма Иностраночка ХУРМА К нам на блюдце ляжет До чего же хороша, Но немножко вяжет. ",хурма иностраночка хурма мы блюдце лечь хороший немножко вязать
"Яблочки Мы спечем большой пирог С ЯБЛОЧНОЙ начинкой, Яблочный в стакане сок Сыты мы с Иринкой. ",яблочко спечь большой пирог яблочный начинка яблочный стакан сок сытый иринка
"Осень в парке Ходит осень в нашем парке, Дарит осень всем подарки: Фартук розовый — осинке, Бусы красные — рябинке, Зонтик жёлтый — тополям, Фрукты осень дарит нам. Автор: И. Винокуров ",осень парка ходить осень наш парка дарить осень весь подарок фартук розовый осинка бусы красный рябинка зонтик жёлтый тополь фрукт осень дарить мы автор винокуров
"Первое сентября Идет по дороге Огромный букет. В туфельках – ноги, Сверху – берет. В школу шагают Букеты цветов - Каждый К учебному году Готов. Автор: Б. Белова ",первый сентябрь идти дорога огромный букет туфелька нога сверху брать школа шагать букет цвет каждый учебный год готовый автор белов
"Осень Осень, осень... Солнце В тучах отсырело - Даже в полдень светит Тускло и несмело. Из холодной рощи В поле, на тропинку, Выдуло зайчонка - Первую Снежинку. Автор: Т. Белозеров ",осень осень осень солнце туча отсырелый полдень светить тускло несмело холодный роща поле тропинка выдуть зайчонок первый снежинка автор белозеров
"Осина В саду осеннем, У дорожки, Осина хлопает В ладошки. Вот почему На той неделе Ее ладошки Покраснели. Автор: Р. Сеф ",осина сад осенний дорожка осина хлопать ладошка почему тот неделя ладошка покраснеть автор сеф
"Осень Я хожу, грущу один: Осень рядом где-то. Желтым листиком в реке Утонуло лето. Я ему бросаю круг - Свой венок последний. Только лето не спасти, Если день - осенний. Автор: Г. Новицкая ",осень ходить грустить осень рядом жёлтый листик река утонуть лето бросать круг свой венок последний лето спасти день осенний автор новицкий
"Утром небо было хмурым Утром небо было хмурым, И казалось все понурым. Осень очень любит плакать, Дождиком на землю капать. Любит листьями шуршать, И с деревьев их срывать. Автор: Л. Луканова ",утром небо хмурый утром небо хмурый казаться понурый осень очень любить плакать дождик земля капать любить лист шуршать дерево срывать автор лукановый
"Дождик, дождик, кап да кап! Дождик, дождик, кап да кап! Ты не капал бы на пап, Ты не капал бы на мам - Приходил бы лучше к нам: Папам - сыро, мамам - грязно, Нам с тобою - распрекрасно! ",дождик дождик кап кап дождик дождик кап кап капать папа капать мама приходить мы папа сыро мама грязно мы ты распрекрасный
"Осень на лисе Смотрите все: во всей красе Несётся осень на лисе. И где лиса махнет хвостом, Рыжеет все на месте том: Окрасит рыжей кистью Она траву и листья. И станут рыжими кусты, Тропинки, улицы, мосты, Дома и поздние цветы… Смотри: не порыжей и ты!  Автор: Н. Волкова ",осень лиса смотреть весь краса нестись осень лиса лиса махнуть хвост рыжеть место окрасить рыжеть кисть трава лист стать рыжий куст тропинка улица мост дом поздний цветок смотреть рыжий автор волков
"Ёжик Под кустом свернулся ёжик Мокрый и колючий. И косит над лесом дождик, Разгоняя тучи. В листья красные одетый Улыбается пенёк. Простоял сухой всё лето, А теперь насквозь промок. Автор: И. Могилевская ",ёжик куст свернуться ёжик мокрый колючий косить лес дождик разгонять туча лист красный одетый улыбаться пенёк простоять сухой всё лето насквозь промокнуть автор могилевский
"С летом год решил проститься С летом год решил проститься, Помутнела вдруг река, Дружной стаей стали птицы Собираться в отпуска. И чтоб стало всё как в сказке, Красоту земле даря, Год разлил на осень краски Из коробок сентября!  Автор: В. Марахин ",лето год решить проститься лето год решить проститься помутнеть река дружный стая стать птица собираться отпуск стать всё сказка красота земля дарить год разлить осень краска коробка сентябрь автор марахина
"Наступила осень Наступила осень, Пожелтел наш сад. Листья на берёзе  Золотом горят. Не слыхать весёлых Песен соловья. Улетели птицы  В дальние края. Автор: А. Ерикеев ",наступить осень наступить осень пожелтеть наш сад лист берёза золото гореть слыхать весёлый песня соловей улететь птица дальний край автор ерикеев
"Лето прошло Лето, раздарив тепло, Заскучало и прошло. Ветер листья посрывал И под ноги разбросал. Солнце спряталось за тучи, Серый день дождём наскучил. И зачем-то плачет, плачет – Вот какая незадача. У него давайте спросим. Дождь ответит: – Просто осень... Автор: В. Гвоздев ",лето пройти лето раздарить тепло заскучать пройти ветер лист посрывать нога разбросать солнце спрятаться туча серый день дождь наскучить плакать плакать незадача давать спросить дождь ответить просто осень автор гвоздев
"Улетает лето Стало вдруг светлее вдвое, Двор, как в солнечных лучах. Это платье золотое У березы на плечах... Утром мы во двор идем - Листья сыплются дождем, Под ногами шелестят И летят, летят, летят... Пролетают паутинки С паучками в серединке. И высоко от земли Пролетели журавли. Все летят! Должно быть, это Улетает наше лето. Автор: Е. Трутнева ",улетать лето стать светлый вдвое двор солнечный луч это платье золотой берёза плечо утром двор идти лист сыпаться дождь нога шелестеть лететь лететь лететь пролетать паутинка паучок серединка высоко земля пролететь журавль лететь должный это улетать наш лето автор трутнева
Листопад Опавшей листвы Разговор еле слышен: - Мы с кленов ... - Мы с яблонь ... - Мы с вишен ... - С осинки ... - С черемухи ... - С дуба ... - С березы... Везде листопад: На пороге морозы! Автор: Ю. Капотов ,листопад опасть листва разговор еле слышный кленовый яблоня вишня осинка черёмуха дуб берёза везде листопад порог мороз автор капот
"Вот и осень Вот и осень перед нами: Сжато поле, скошен луг. И над лесом косяками Гуси тянутся на юг. За сараем стог соломы И рябину во дворе Из окна родного дома Видно сельской детворе. Частый дождь в окно трезвонит. Ветер, шастая везде, Золотые листья гонит По серебряной воде. Автор: В. Приходько ",осень осень мы сжато поле скосить луг лес косяк гусь тянуться сарай стог солома рябина двор окно родный дом видно сельский детвора частый дождь окно трезвонить ветер шастать везде золотой лист гнать серебряный вода автор приходько
"Воробей Заглянула осень в сад - Птицы улетели. За окном с утра шуршат Жёлтые метели. Под ногами первый лёд Крошится, ломается. Воробей в саду вздохнёт, А запеть – Стесняется. Автор: В. Степанов ",воробей заглянуть осень сад птица улететь окно утро шуршать жёлтый метель нога первый лёд крошиться ломаться воробей сад вздохнуть запеть стесняться автор степанов
"Осень (для малышей) Если на деревьях Листья пожелтели, Если в край далекий Птицы улетели, Если небо хмурое, Если дождик льется, Это время года Осенью зовется. Автор: М. Ходякова ",осень малыш дерево лист пожелтеть край далёкий птица улететь небо хмурый дождик литься это время год осень зваться автор ходяков
"Деревья осенью Березы косы расплели, Руками клены хлопали, Ветра холодные пришли, И тополи затопали. Поникли ивы у пруда, Осины задрожали, Дубы, огромные всегда, Как будто меньше стали. Все присмирело, съежилось, Поникло, пожелтело. Лишь елочка пригожая К зиме похорошела. Автор: М. Садовский ",дерево осень берёза коса расплести рука клён хлопать ветер холодное прислать тополь затопать поникнуть ив пруд осина задрожать дуб огромный маленький стать присмиреть съёжиться пониклый пожелтелый лишь ёлочка пригожий зима похорошеть автор садовский
"Осень Осень на опушке краски разводила, По листве тихонько кистью проводила: Пожелтел орешник и зарделись клены, В пурпуре осеннем только дуб зеленый. Утешает осень: - Не жалейте лето! Посмотрите - роща золотом одета! Автор: 3. Федоровская ",осень осень опушка краска разводить листва тихонько кисть проводить пожелтеть орешник зардеться клён пурпур осенний дуб зелёный утешать осень жалеть лето посмотреть роща золото одетый автор федоровский
"Котенок Если кто-то с места сдвинется,  На него котенок кинется.  Если что-нибудь покатится,  За него котенок схватится.  Прыг-скок! Цап-царап!  Не уйдешь из наших лап! ",котёнок место сдвинуться котёнок кинуться покатиться котёнок схватиться уйти наш лапа
"Щенок Хитроглазый мой щенок,  Шерстяные лапки... Это кто у нас погрыз  Новенькие тапки? В глазках вижу я ответ:  Нет, не я это, нет, нет! Тапки сами в рот полезли  И нечаянно разлезлись... ",щенок хитроглазый щенок шерстяной лапка это погрызть новенький тапка глазок видеть ответ это тапка сам рот полезть нечаянно разлезться
Корова Представить невозможно! Поверить нелегко! Жуёт корова сено А дарит молоко! ,корова представить невозможно поверить нелегко жевать корова сено дарить молоко
"Лошадь Ты куда спешишь, лошадка? У меня с утра зарядка! Тороплюсь я в чисто поле, Чтобы там побегать вволю! ",лошадь спешить лошадка утро зарядка торопиться чисто поле побегать вволю
"Овечка Мимо нас прошли овечки, Не сказали ни словечка.. Неужели у овечек  Не нашлось для нас словечек? ",овечка мимо пройти овечка сказать словечко неужели овечка найтись словечко
"Барашек Приходите к нам, барашки, Мы расчешем вам кудряшки. Нет спасибо, бе-бе-бе, Расчешите их себе. ",барашек приходить мы барашек расчесать кудряшка спасибо расчесать
Коза Непослушная коза Смотрит прямо мне в глаза! Сильно упирается... Ей сарай не нравится. ,коза непослушный коза смотреть прямо глаз сильно упираться сарай нравиться
"Свинка Поросенок, поросенок, только вылез из пеленок. Тут же, свинка, грязь нашел, Мимо лужи не прошел. ",свинка поросёнок поросёнок вылезти пелёнка свинка грязь найти мимо лужа пройти
"Кролик Пушистые крольчата -  Весёлые ребята. Их лакомство - морковка, грызут её крольчата ловко. ",кролик пушистый крольчонок весёлый ребята лакомство морковка грызть крольчонок ловко
"Хомячок Бело-рыжий хомячок Привалился на бочок. Под щёчки спрятаны орешки, И хомячок их ест без спешки. ",хомячок хомячок привалиться бочок щёчка спрятать орешек хомячок есть спешка
Бобр Бобр бобрятам строит дом  Под березовым бревном  В тихой реченьке за бором.  В хатке будут жить бобрята  Очень дружно и богато! ,бобёр бобёр бобрёнок строить дом берёзовый бревно тихий реченька бор хатка быть жить бобрёнок очень дружно богато
"Волк С малых лет ребят пугают,  Что волчок их покусает,  Ночью из лесу придет  И с собою унесет.  Только взять не могут в толк,  Что ни разу серый волк  Ни к кому не прибегал  И детишек не кусал!  ",волк малый год ребята пугать волчок покусать ночью лес прийти себя унести взять мочь толк раз серый волк кто прибегать детишки кусать
"Лиса В рыжем платьице из ситца раскрасавица лисица. Хвостик — с белым кончиком, краска, что ли, кончилась? ",лиса рыжий платьице ситец раскрасавица лисица хвостик белый кончик краска кончиться
"Заяц Смотрит заинька в окно –  За ночь снегу намело…  Во дворе снеговики  Чинят лыжи и коньки,  С гор несутся сани…  - Зайка, едем с нами! ",заяц смотреть заинька окно ночь снег намести двор снеговик чинить лыжа конёк гора нестись сани зайка ехать мы
"Медведь Пчелы гонятся за Мишкой. ""Жу-жу-жу, не будь воришкой! Меда нашего не трогай, Проходи своей дорогой!"" Мишка мчится без оглядки, Лишь в траве мелькают пятки. Вместо меда будут шишки На носу воришки мишки. ",медведь пчела гнаться мишка быть воришка мёд наш трогать проходить свой дорога мишка мчаться оглядка лишь трава мелькать пятка вместо мёд быть шишка нос воришка мишка
"Кабан - Эй, кабанчик! – крикнул дуб. –  Почему ты рыщешь тут?  - Ах, дубочек, как ты глуп –  Здесь же желуди растут! ",кабан кабанчик крикнуть дуб почему рыскать дубочек глупый жёлудь расти
"Белка Наигравшись в прятки,  Рыжие бельчатки  Шишку шустро потрошат  И орешками шуршат. ",белок наиграться прятки рыжий бельчатка шишка шустро потрошить орешек шуршать
"Барсук Чистоплотный зверь барсук  Так проводит свой досуг:  Роет лабиринт из нор,  Тут же убирает сор,  Приводя в порядок дом,  Чтоб уютно было в нем! ",барсук чистоплотный зверь барсук проводить свой досуг рыть лабиринт нора убирать сор приводить порядок дом уютный немой
"Ёжик Ёжик маленький, колючий  Увидал на небе тучи:  - Не хочу мочить я ножки!  Где лежат мои галошки? ",ёжик ёжик маленький колючий увидать небо туча хотеть мочить ножка лежать мой галошка
"Бегемот Возле топкого болота  На большого бегемота  Накатила вдруг зевота:  Назеваться хочет всласть,  Распахнул пошире пасть.  Не спеши в нее попасть. ",бегемот возле топкий болото большой бегемот накатить зевота назеваться хотеть всласть распахнуть широкий пасть спешить попасть
Бурундук Маленький бурундучок  Зацепился за сучок:  Он сорвать пытался шишку.  Помогите снять малышку! ,бурундук маленький бурундучок зацепиться сучок сорвать пытаться шишка помочь снять малышок
"Жираф С длинной шеей, весь пятнистый, На высоких ножках, Шел красивый, мускулистый Жираф по дорожке. Он из Африки, где жарко, Переехал навсегда И теперь по зоопарку Он гуляет иногда. ",жираф длинный шея весь пятнистый высокий ножка идти красивый мускулистый жираф дорожка африка жарко переехать навсегда зоопарк гулять
"Зебра Знают взрослые и дети:  Я люблю скакать, как ветер,  И всегда ношу матроску  В черно-белую полоску. ",зебра знать взрослый ребёнок любить скакать ветер носить матроска полоска
"Кенгуру Кенгурятам на прогулке  Так уютно в мягкой сумке.  - Мама, мама, ты вези  С ветерком нас, как такси. ",кенгуру кенгурёнок прогулка уютный мягкий сумка мама мама везти ветерок такси
"Лев Джунглей царь и царь зверей, Всех сильней и всех мудрей. Но не бойся его крошка, Лев - всего лишь только кошка. ",лев джунгли царь царь зверь сильный мудрый бояться крошка лев лишь кошка
"Лосенок Тренируется лосенок,  Набирается силенок,  Возле дома спозаранку  Бегая через полянку,  Чтобы даже волк не мог  Укусить его за бок! ",лосёнок тренироваться лосёнок набираться силёнка возле дом спозаранку бегать полянка волк мочь укусить бок
"Носорог Чистят ушки, моют рожки Очаровашки - носорожки. Чистоту проверит строго Утром мама носорога. ",носорог чистить ушко мыть рожок очаровашка носорожок чистота проверить строго утром мама носорог
Обезьянка Обезьянке в высоте  Так удобно на хвосте  По ветвям качаться –  К фруктам подбираться. ,обезьянка обезьянка высота удобно хвост ветвь качаться фрукт подбираться
